User_ID,Gender,Age,Marital_Status,Website_Activity,Browsed_Electronics_12Mo,Bought_Electronics_12Mo,Bought_Digital_Media_18Mo,Bought_Digital_Books,Payment_Method,eReader_Adoption
5379,M,65,S,Regular,Yes,No,No,Yes,Credit Card,Innovator
2181,F,53,S,Regular,Yes,Yes,No,No,Bank Transfer,Early Adopter
9114,M,64,S,Seldom,Yes,No,Yes,Yes,Bank Transfer,Early Adopter
2983,F,50,M,Regular,Yes,Yes,No,No,Bank Transfer,Early Adopter
4228,M,43,S,Seldom,Yes,Yes,Yes,No,Website Account,Late Majority
6633,M,33,M,Seldom,Yes,No,Yes,No,Monthly Billing,Late Majority
1181,F,53,S,Seldom,Yes,No,Yes,No,Website Account,Late Majority
2636,M,35,M,Regular,Yes,Yes,Yes,No,Bank Transfer,Early Adopter
7666,M,50,M,Seldom,Yes,No,No,Yes,Credit Card,Early Adopter
4393,F,29,S,Seldom,Yes,No,Yes,No,Website Account,Late Majority
4897,M,34,S,Regular,Yes,No,Yes,Yes,Website Account,Innovator
1042,M,63,M,Seldom,Yes,Yes,Yes,Yes,Website Account,Early Majority
2525,F,40,M,Seldom,Yes,No,Yes,No,Bank Transfer,Early Majority
9829,F,26,M,Seldom,Yes,Yes,Yes,No,Bank Transfer,Early Majority
8960,M,28,M,Seldom,Yes,No,Yes,Yes,Website Account,Early Majority
9310,M,54,S,Regular,Yes,Yes,Yes,No,Credit Card,Early Majority
6118,F,61,M,Regular,Yes,Yes,Yes,No,Monthly Billing,Early Majority
9396,M,29,S,Seldom,Yes,No,Yes,No,Website Account,Late Majority
6813,F,63,M,Seldom,Yes,No,Yes,No,Website Account,Late Majority
4673,F,51,M,Seldom,Yes,Yes,Yes,No,Bank Transfer,Late Majority
6696,F,64,M,Regular,Yes,No,No,No,Website Account,Late Majority
2289,F,49,S,Seldom,Yes,Yes,Yes,Yes,Bank Transfer,Early Adopter
2785,M,34,S,Seldom,Yes,No,Yes,Yes,Bank Transfer,Early Adopter
9067,M,34,M,Seldom,Yes,No,Yes,Yes,Website Account,Early Adopter
4420,F,28,M,Seldom,Yes,No,Yes,Yes,Bank Transfer,Early Adopter
9389,M,45,S,Regular,Yes,Yes,Yes,No,Website Account,Early Majority
4662,M,57,S,Seldom,Yes,No,Yes,No,Bank Transfer,Late Majority
3489,F,61,M,Seldom,Yes,Yes,Yes,No,Website Account,Late Majority
6071,M,64,M,Seldom,Yes,No,No,No,Bank Transfer,Late Majority
5758,M,66,M,Regular,Yes,Yes,Yes,No,Bank Transfer,Early Majority
3126,M,23,M,Regular,Yes,No,Yes,No,Website Account,Early Adopter
5976,M,43,S,Seldom,Yes,Yes,Yes,Yes,Bank Transfer,Early Adopter
4554,M,29,M,Regular,Yes,No,Yes,No,Bank Transfer,Early Adopter
9769,F,46,S,Regular,Yes,Yes,Yes,No,Bank Transfer,Early Adopter
3953,M,46,S,Seldom,Yes,No,Yes,Yes,Website Account,Early Adopter
1886,M,46,S,Frequent,Yes,No,No,No,Website Account,Early Adopter
9770,M,57,S,Seldom,Yes,Yes,Yes,Yes,Bank Transfer,Early Adopter
8160,M,43,S,Seldom,Yes,Yes,Yes,Yes,Website Account,Early Majority
5811,F,46,S,Seldom,Yes,No,Yes,Yes,Monthly Billing,Early Majority
8807,M,30,M,Seldom,Yes,Yes,Yes,Yes,Website Account,Early Adopter
3500,M,58,S,Seldom,Yes,No,Yes,No,Website Account,Late Majority
1774,M,64,M,Seldom,Yes,No,Yes,No,Credit Card,Late Majority
9284,M,22,S,Seldom,Yes,No,Yes,No,Bank Transfer,Early Majority
4298,F,36,S,Frequent,Yes,No,Yes,No,Website Account,Innovator
9317,F,61,M,Frequent,Yes,No,No,No,Monthly Billing,Early Majority
9415,F,21,S,Seldom,Yes,No,No,No,Credit Card,Early Majority
5955,M,40,M,Seldom,Yes,Yes,Yes,Yes,Bank Transfer,Early Adopter
4671,M,51,S,Regular,Yes,No,Yes,Yes,Website Account,Early Adopter
6214,F,64,S,Seldom,Yes,No,Yes,Yes,Website Account,Late Majority
4168,F,44,S,Seldom,Yes,No,Yes,No,Monthly Billing,Late Majority
2791,F,64,M,Frequent,No,Yes,No,Yes,Website Account,Innovator
1303,M,41,S,Seldom,Yes,Yes,Yes,No,Bank Transfer,Early Majority
3245,F,50,S,Seldom,Yes,No,No,No,Website Account,Late Majority
1555,F,52,S,Seldom,Yes,Yes,Yes,No,Credit Card,Late Majority
2498,M,62,M,Seldom,Yes,No,Yes,No,Website Account,Late Majority
2197,F,60,M,Seldom,Yes,Yes,Yes,Yes,Monthly Billing,Late Majority
2132,M,46,M,Regular,Yes,No,Yes,No,Credit Card,Early Adopter
7407,M,46,M,Seldom,Yes,Yes,Yes,Yes,Monthly Billing,Early Majority
5902,M,17,M,Seldom,Yes,Yes,Yes,Yes,Website Account,Early Majority
8029,F,28,M,Seldom,Yes,No,Yes,No,Monthly Billing,Late Majority
6765,M,41,S,Seldom,Yes,No,No,Yes,Bank Transfer,Early Adopter
4448,M,43,M,Frequent,Yes,Yes,No,Yes,Website Account,Innovator
3981,F,33,S,Seldom,Yes,Yes,Yes,No,Website Account,Late Majority
7796,M,44,M,Regular,Yes,Yes,Yes,Yes,Website Account,Early Adopter
1670,M,48,M,Frequent,Yes,Yes,Yes,No,Bank Transfer,Innovator
5464,F,38,S,Regular,Yes,Yes,Yes,Yes,Bank Transfer,Innovator
2186,M,57,M,Frequent,Yes,No,Yes,No,Website Account,Early Adopter
4217,M,45,S,Seldom,Yes,No,Yes,No,Credit Card,Late Majority
7734,M,32,S,Seldom,Yes,Yes,Yes,Yes,Bank Transfer,Early Adopter
6589,M,51,M,Seldom,Yes,Yes,Yes,No,Website Account,Late Majority
1367,F,40,M,Regular,Yes,Yes,Yes,Yes,Website Account,Innovator
6276,F,63,M,Frequent,No,Yes,No,Yes,Website Account,Innovator
1807,F,50,S,Seldom,Yes,Yes,No,Yes,Bank Transfer,Early Adopter
6206,M,16,M,Seldom,Yes,No,Yes,No,Credit Card,Early Majority
2848,F,49,M,Seldom,Yes,No,Yes,No,Bank Transfer,Late Majority
3477,F,45,M,Regular,Yes,Yes,Yes,Yes,Bank Transfer,Innovator
1337,F,62,M,Regular,No,Yes,Yes,No,Bank Transfer,Early Majority
1732,M,61,M,Seldom,Yes,Yes,Yes,No,Monthly Billing,Late Majority
6141,M,47,S,Regular,Yes,No,No,Yes,Credit Card,Innovator
5800,M,44,M,Regular,Yes,No,No,No,Credit Card,Early Adopter
8820,F,46,S,Seldom,Yes,Yes,No,No,Bank Transfer,Late Majority
3647,M,26,M,Regular,Yes,Yes,Yes,No,Website Account,Early Adopter
8662,F,35,S,Regular,Yes,Yes,No,No,Website Account,Early Adopter
8623,F,29,S,Seldom,Yes,No,Yes,No,Website Account,Late Majority
2791,F,49,M,Regular,No,Yes,Yes,No,Credit Card,Early Adopter
8249,F,56,S,Seldom,Yes,No,Yes,No,Website Account,Late Majority
4302,F,22,M,Regular,Yes,Yes,Yes,No,Credit Card,Innovator
3209,F,48,M,Seldom,Yes,Yes,Yes,No,Bank Transfer,Late Majority
8345,M,44,S,Regular,Yes,No,Yes,No,Website Account,Early Majority
8014,F,47,S,Seldom,Yes,Yes,No,Yes,Credit Card,Early Adopter
4169,F,53,S,Seldom,Yes,No,Yes,Yes,Credit Card,Early Majority
6180,F,53,M,Seldom,Yes,No,Yes,Yes,Website Account,Early Adopter
2619,M,22,M,Seldom,Yes,No,No,No,Monthly Billing,Early Majority
9767,F,34,S,Regular,Yes,Yes,Yes,No,Website Account,Early Adopter
2765,M,19,M,Regular,Yes,Yes,Yes,Yes,Website Account,Innovator
9202,M,24,M,Regular,Yes,No,Yes,No,Bank Transfer,Innovator
9899,M,54,M,Seldom,Yes,No,Yes,Yes,Website Account,Early Majority
1645,M,41,M,Seldom,Yes,Yes,Yes,No,Website Account,Late Majority
7708,M,65,S,Regular,Yes,Yes,Yes,Yes,Credit Card,Innovator
9232,M,56,S,Seldom,Yes,No,Yes,Yes,Bank Transfer,Early Majority
7751,F,56,S,Regular,Yes,No,No,Yes,Website Account,Early Adopter
9885,M,21,S,Seldom,Yes,Yes,Yes,No,Bank Transfer,Early Majority
9553,M,57,S,Regular,Yes,Yes,Yes,Yes,Bank Transfer,Early Adopter
2556,F,17,S,Seldom,Yes,No,Yes,Yes,Website Account,Early Adopter
6815,F,36,M,Seldom,Yes,No,Yes,Yes,Bank Transfer,Early Adopter
7062,M,18,M,Seldom,Yes,No,Yes,Yes,Monthly Billing,Early Adopter
3032,M,40,M,Seldom,Yes,Yes,Yes,Yes,Bank Transfer,Early Majority
4254,F,27,M,Regular,Yes,Yes,Yes,Yes,Monthly Billing,Innovator
1587,M,27,M,Regular,No,No,Yes,No,Monthly Billing,Early Adopter
7606,F,58,S,Regular,Yes,Yes,Yes,No,Website Account,Early Majority
1773,F,26,S,Regular,Yes,No,Yes,Yes,Bank Transfer,Innovator
3727,F,45,M,Seldom,Yes,No,Yes,Yes,Bank Transfer,Early Adopter
9726,F,43,M,Seldom,Yes,Yes,Yes,Yes,Website Account,Early Majority
6560,M,48,S,Frequent,Yes,Yes,Yes,Yes,Website Account,Innovator
9024,F,32,M,Regular,Yes,No,Yes,No,Website Account,Early Adopter
9646,F,26,M,Seldom,Yes,No,Yes,Yes,Website Account,Early Majority
6810,F,55,S,Seldom,Yes,No,Yes,No,Monthly Billing,Late Majority
8649,M,57,S,Regular,No,Yes,Yes,Yes,Bank Transfer,Early Adopter
9825,F,42,M,Regular,Yes,Yes,Yes,Yes,Credit Card,Innovator
6327,M,42,S,Seldom,Yes,Yes,Yes,Yes,Bank Transfer,Early Majority
1550,M,34,M,Regular,Yes,Yes,Yes,Yes,Monthly Billing,Innovator
2314,M,52,M,Regular,Yes,Yes,Yes,Yes,Credit Card,Innovator
7612,F,41,M,Regular,Yes,Yes,Yes,No,Website Account,Early Majority
1164,M,53,S,Regular,Yes,No,Yes,Yes,Monthly Billing,Early Adopter
7595,M,54,S,Seldom,Yes,Yes,Yes,Yes,Credit Card,Early Adopter
5671,F,25,M,Seldom,Yes,Yes,Yes,No,Bank Transfer,Early Majority
8332,F,61,S,Frequent,Yes,No,Yes,No,Bank Transfer,Early Adopter
5953,F,26,M,Regular,Yes,Yes,Yes,No,Bank Transfer,Innovator
4443,M,55,M,Frequent,Yes,No,Yes,No,Bank Transfer,Innovator
3732,M,52,M,Regular,Yes,Yes,No,No,Bank Transfer,Early Adopter
6715,M,48,S,Regular,Yes,Yes,No,Yes,Website Account,Early Adopter
2490,F,44,M,Regular,Yes,Yes,Yes,Yes,Monthly Billing,Early Adopter
2955,F,65,M,Regular,Yes,Yes,Yes,Yes,Bank Transfer,Innovator
6040,F,59,S,Seldom,Yes,Yes,Yes,No,Bank Transfer,Late Majority
2884,F,39,M,Seldom,Yes,No,No,No,Monthly Billing,Late Majority
1763,F,35,M,Seldom,Yes,No,Yes,Yes,Monthly Billing,Early Majority
6669,F,46,M,Seldom,Yes,Yes,Yes,Yes,Website Account,Early Majority
3325,M,50,S,Regular,Yes,No,Yes,No,Website Account,Early Majority
8964,M,51,S,Seldom,Yes,Yes,Yes,No,Bank Transfer,Late Majority
9434,F,51,S,Regular,Yes,Yes,No,No,Bank Transfer,Early Adopter
5301,M,47,M,Seldom,Yes,No,Yes,Yes,Website Account,Early Majority
7310,F,57,M,Seldom,Yes,No,Yes,Yes,Credit Card,Early Majority
3387,M,44,M,Seldom,No,Yes,Yes,Yes,Website Account,Early Adopter
7036,M,53,S,Seldom,Yes,Yes,Yes,Yes,Website Account,Early Adopter
6338,M,42,M,Seldom,No,No,Yes,No,Monthly Billing,Late Majority
1410,M,55,M,Regular,Yes,Yes,Yes,Yes,Website Account,Early Majority
4301,M,59,M,Seldom,Yes,Yes,Yes,No,Credit Card,Late Majority
2956,F,54,S,Seldom,Yes,No,Yes,Yes,Bank Transfer,Early Majority
7673,F,51,M,Regular,Yes,No,No,Yes,Credit Card,Innovator
5243,F,48,S,Seldom,Yes,Yes,Yes,Yes,Website Account,Early Majority
6877,F,29,S,Seldom,Yes,Yes,Yes,Yes,Monthly Billing,Early Adopter
6871,F,55,M,Regular,Yes,Yes,No,Yes,Bank Transfer,Innovator
8343,F,37,M,Seldom,Yes,No,No,Yes,Credit Card,Innovator
2661,F,51,S,Seldom,Yes,No,Yes,No,Bank Transfer,Late Majority
1314,M,65,S,Regular,Yes,Yes,Yes,No,Website Account,Late Majority
2848,F,32,S,Seldom,Yes,No,Yes,No,Monthly Billing,Late Majority
1129,M,59,S,Seldom,Yes,No,No,No,Monthly Billing,Late Majority
3211,M,54,S,Seldom,Yes,No,Yes,No,Bank Transfer,Late Majority
1681,M,18,S,Seldom,No,Yes,No,Yes,Website Account,Early Adopter
5368,F,57,S,Seldom,Yes,Yes,No,Yes,Bank Transfer,Early Adopter
7323,M,22,M,Seldom,Yes,No,Yes,Yes,Bank Transfer,Early Adopter
7039,M,30,M,Seldom,Yes,Yes,Yes,Yes,Credit Card,Early Adopter
4715,M,61,S,Seldom,Yes,Yes,Yes,No,Credit Card,Late Majority
7730,M,41,S,Seldom,Yes,No,Yes,No,Monthly Billing,Late Majority
8559,M,58,M,Seldom,Yes,No,Yes,No,Website Account,Late Majority
3532,M,56,S,Regular,Yes,Yes,Yes,Yes,Website Account,Early Adopter
8475,M,24,M,Regular,Yes,Yes,Yes,No,Website Account,Early Adopter
9204,M,61,S,Seldom,Yes,No,Yes,Yes,Website Account,Early Majority
1737,M,43,M,Seldom,Yes,No,Yes,Yes,Bank Transfer,Early Adopter
5435,M,49,S,Seldom,Yes,Yes,Yes,Yes,Bank Transfer,Early Majority
2255,F,34,M,Seldom,Yes,Yes,Yes,No,Website Account,Late Majority
8159,M,23,M,Seldom,Yes,No,No,Yes,Bank Transfer,Early Adopter
7507,F,37,M,Regular,Yes,No,Yes,No,Monthly Billing,Early Adopter
4634,M,41,S,Seldom,Yes,Yes,Yes,No,Website Account,Late Majority
8140,M,34,S,Seldom,Yes,No,Yes,No,Monthly Billing,Late Majority
4854,M,61,M,Seldom,Yes,Yes,Yes,Yes,Credit Card,Early Majority
9726,F,63,S,Regular,Yes,No,No,No,Bank Transfer,Early Majority
