User_ID,Gender,Age,Marital_Status,Website_Activity,Browsed_Electronics_12Mo,Bought_Electronics_12Mo,Bought_Digital_Media_18Mo,Bought_Digital_Books,Payment_Method
15706,F,53,S,Seldom,Yes,No,Yes,Yes,Credit Card
58150,M,46,S,Seldom,Yes,No,Yes,Yes,Website Account
16788,M,38,S,Seldom,Yes,No,Yes,Yes,Bank Transfer
71801,F,30,M,Seldom,Yes,No,Yes,Yes,Website Account
48662,M,30,M,Seldom,Yes,No,Yes,Yes,Website Account
80090,F,32,M,Seldom,Yes,No,Yes,No,Monthly Billing
45776,M,59,M,Frequent,Yes,No,Yes,No,Website Account
92374,F,68,M,Regular,Yes,No,No,No,Website Account
77028,F,43,M,Regular,Yes,Yes,Yes,Yes,Website Account
49617,F,63,M,Seldom,Yes,No,Yes,No,Website Account
15810,F,64,M,Seldom,Yes,No,Yes,No,Website Account
85343,F,67,M,Frequent,No,Yes,No,Yes,Website Account
73118,F,57,S,Seldom,Yes,No,Yes,No,Website Account
76548,F,52,M,Regular,Yes,Yes,No,No,Bank Transfer
78179,F,54,M,Seldom,Yes,Yes,Yes,No,Bank Transfer
84132,F,22,M,Regular,Yes,Yes,Yes,No,Credit Card
79105,F,28,M,Regular,Yes,Yes,Yes,Yes,Monthly Billing
49019,M,48,S,Seldom,Yes,No,Yes,No,Credit Card
89985,F,51,M,Regular,No,Yes,Yes,No,Credit Card
42424,F,57,S,Regular,Yes,No,No,Yes,Website Account
67645,M,61,S,Seldom,Yes,No,Yes,No,Website Account
93347,F,21,S,Seldom,Yes,No,No,No,Credit Card
16908,F,52,M,Seldom,Yes,Yes,Yes,No,Bank Transfer
86453,F,62,M,Regular,No,Yes,Yes,No,Bank Transfer
98350,F,40,S,Frequent,Yes,No,Yes,No,Website Account
51247,M,35,S,Seldom,Yes,No,Yes,No,Bank Transfer
13668,F,52,S,Seldom,Yes,Yes,No,Yes,Monthly Billing
90322,M,44,S,Seldom,Yes,Yes,Yes,Yes,Website Account
32371,M,44,M,Seldom,Yes,Yes,Yes,Yes,Bank Transfer
44173,M,47,S,Seldom,Yes,No,Yes,No,Credit Card
76558,F,49,M,Seldom,Yes,No,Yes,No,Bank Transfer
54936,M,46,S,Regular,Yes,Yes,Yes,No,Website Account
84631,F,58,S,Regular,Yes,No,No,Yes,Website Account
67067,M,33,M,Seldom,Yes,Yes,Yes,Yes,Website Account
22402,M,23,M,Regular,Yes,No,Yes,No,Website Account
12532,F,48,S,Seldom,Yes,Yes,No,Yes,Credit Card
64950,M,39,S,Seldom,Yes,No,Yes,No,Bank Transfer
24212,M,65,M,Seldom,Yes,No,Yes,No,Credit Card
86962,F,26,S,Regular,Yes,No,Yes,Yes,Bank Transfer
65788,M,31,S,Seldom,Yes,No,Yes,No,Website Account
61926,M,17,M,Seldom,Yes,No,Yes,No,Credit Card
81747,M,26,M,Seldom,Yes,No,No,No,Monthly Billing
58818,M,24,S,Seldom,Yes,No,Yes,No,Bank Transfer
61668,M,54,S,Seldom,Yes,No,Yes,No,Website Account
10153,M,46,M,Frequent,Yes,Yes,No,Yes,Website Account
75722,M,47,S,Seldom,Yes,No,Yes,Yes,Website Account
69601,F,62,M,Seldom,Yes,Yes,Yes,Yes,Monthly Billing
88778,F,63,M,Seldom,Yes,Yes,Yes,No,Website Account
49903,F,42,M,Regular,Yes,Yes,Yes,Yes,Website Account
63669,F,49,S,Seldom,Yes,Yes,Yes,Yes,Bank Transfer
15769,M,64,M,Seldom,Yes,Yes,Yes,Yes,Website Account
85097,M,49,S,Regular,Yes,No,No,Yes,Credit Card
67767,M,52,M,Frequent,Yes,Yes,Yes,No,Bank Transfer
44210,M,20,M,Regular,Yes,Yes,Yes,Yes,Website Account
33192,F,64,M,Frequent,No,Yes,No,Yes,Website Account
43668,F,41,S,Regular,Yes,Yes,Yes,Yes,Bank Transfer
51348,M,31,M,Seldom,Yes,Yes,Yes,Yes,Website Account
40481,F,39,S,Regular,Yes,Yes,No,No,Website Account
20176,F,50,S,Regular,Yes,Yes,Yes,No,Bank Transfer
52881,F,53,M,Seldom,Yes,Yes,Yes,No,Bank Transfer
75183,F,60,M,Seldom,Yes,Yes,Yes,Yes,Monthly Billing
46740,M,58,S,Seldom,Yes,No,Yes,No,Website Account
85498,M,52,M,Seldom,Yes,Yes,Yes,No,Website Account
94008,M,47,M,Regular,Yes,No,Yes,No,Credit Card
52945,M,42,S,Seldom,Yes,No,No,Yes,Bank Transfer
41667,F,49,M,Regular,Yes,Yes,Yes,Yes,Bank Transfer
18023,F,49,M,Seldom,Yes,No,Yes,Yes,Bank Transfer
57474,F,26,M,Seldom,Yes,No,Yes,Yes,Website Account
65355,F,21,S,Seldom,Yes,No,Yes,Yes,Website Account
64352,M,19,M,Seldom,Yes,No,Yes,Yes,Monthly Billing
22479,M,61,S,Seldom,Yes,Yes,Yes,Yes,Bank Transfer
23135,M,31,M,Regular,Yes,No,Yes,No,Bank Transfer
88666,F,26,M,Seldom,Yes,Yes,Yes,No,Bank Transfer
51218,F,31,M,Regular,Yes,Yes,Yes,Yes,Monthly Billing
95316,F,28,M,Seldom,Yes,No,Yes,Yes,Website Account
99694,F,46,S,Seldom,Yes,Yes,No,No,Bank Transfer
84559,M,36,M,Regular,Yes,Yes,Yes,No,Bank Transfer
24084,M,49,S,Seldom,Yes,No,Yes,No,Credit Card
89880,F,38,M,Seldom,Yes,No,Yes,Yes,Bank Transfer
46503,M,41,S,Seldom,Yes,No,No,Yes,Bank Transfer
32561,M,65,S,Seldom,Yes,No,Yes,Yes,Bank Transfer
49906,M,47,S,Regular,Yes,Yes,Yes,No,Website Account
80705,M,36,S,Regular,Yes,No,Yes,Yes,Website Account
69195,M,48,S,Regular,Yes,No,Yes,No,Website Account
46081,M,28,M,Regular,Yes,Yes,Yes,No,Website Account
86311,F,43,M,Seldom,Yes,Yes,Yes,Yes,Website Account
25755,F,67,S,Seldom,Yes,No,Yes,Yes,Website Account
22138,M,54,S,Regular,Yes,No,Yes,Yes,Website Account
61082,F,51,S,Seldom,Yes,Yes,Yes,Yes,Bank Transfer
85084,M,50,M,Seldom,Yes,No,No,Yes,Credit Card
50209,F,44,M,Seldom,Yes,No,Yes,No,Bank Transfer
73685,M,61,S,Seldom,Yes,Yes,Yes,Yes,Bank Transfer
52205,M,47,S,Seldom,Yes,Yes,Yes,No,Website Account
83940,F,47,S,Seldom,Yes,Yes,No,No,Bank Transfer
72143,F,50,S,Seldom,Yes,No,No,No,Website Account
85198,M,59,M,Frequent,Yes,No,Yes,No,Website Account
21099,M,57,S,Regular,Yes,Yes,Yes,No,Credit Card
75222,M,36,S,Seldom,Yes,No,Yes,Yes,Bank Transfer
43243,F,37,S,Regular,Yes,Yes,Yes,No,Website Account
23768,F,53,S,Seldom,Yes,Yes,Yes,No,Credit Card
64405,M,31,M,Regular,No,No,Yes,No,Monthly Billing
36067,M,64,M,Seldom,Yes,No,Yes,No,Website Account
72270,M,17,M,Seldom,Yes,Yes,Yes,Yes,Website Account
14980,F,59,S,Seldom,Yes,No,Yes,No,Monthly Billing
49866,M,61,M,Frequent,Yes,No,Yes,No,Website Account
25355,F,62,M,Seldom,Yes,Yes,Yes,No,Website Account
12978,F,25,M,Regular,Yes,Yes,Yes,No,Credit Card
92483,F,53,M,Regular,No,Yes,Yes,No,Credit Card
79388,F,45,M,Regular,Yes,Yes,Yes,Yes,Bank Transfer
38881,F,35,S,Seldom,Yes,No,Yes,No,Bank Transfer
63427,F,51,S,Seldom,Yes,Yes,No,Yes,Bank Transfer
17451,M,41,M,Seldom,Yes,Yes,Yes,Yes,Bank Transfer
48696,F,53,S,Regular,Yes,Yes,No,No,Bank Transfer
89831,F,58,S,Seldom,Yes,No,Yes,No,Website Account
26109,M,46,M,Seldom,Yes,Yes,Yes,Yes,Monthly Billing
34406,M,34,M,Seldom,Yes,No,Yes,No,Monthly Billing
93483,M,48,M,Frequent,Yes,Yes,Yes,No,Bank Transfer
96893,F,28,M,Seldom,Yes,No,Yes,Yes,Bank Transfer
76169,M,33,M,Regular,Yes,No,Yes,No,Bank Transfer
99037,F,50,M,Regular,No,Yes,Yes,No,Credit Card
52292,M,22,S,Seldom,Yes,Yes,Yes,No,Bank Transfer
27878,M,66,M,Seldom,Yes,Yes,Yes,Yes,Website Account
15614,F,51,S,Seldom,Yes,Yes,No,Yes,Credit Card
57412,M,59,S,Regular,Yes,Yes,Yes,Yes,Bank Transfer
85005,M,54,S,Regular,Yes,Yes,Yes,No,Credit Card
79896,F,66,M,Frequent,No,Yes,No,Yes,Website Account
82338,M,42,S,Seldom,Yes,Yes,Yes,No,Bank Transfer
78096,F,25,M,Regular,Yes,Yes,Yes,No,Credit Card
30121,F,66,M,Frequent,No,Yes,No,Yes,Website Account
70731,F,51,S,Seldom,Yes,Yes,No,Yes,Monthly Billing
42786,M,34,M,Seldom,Yes,No,Yes,Yes,Website Account
46836,F,56,S,Seldom,Yes,No,Yes,No,Website Account
15286,F,52,M,Seldom,Yes,Yes,Yes,No,Bank Transfer
53876,F,65,M,Frequent,Yes,No,No,No,Monthly Billing
88598,M,40,M,Seldom,Yes,Yes,Yes,Yes,Bank Transfer
27193,M,17,M,Seldom,Yes,No,Yes,No,Credit Card
62087,F,50,S,Seldom,Yes,Yes,No,No,Bank Transfer
90476,F,31,M,Seldom,Yes,No,Yes,Yes,Bank Transfer
78795,F,57,S,Seldom,Yes,No,Yes,No,Website Account
26464,F,46,M,Seldom,Yes,No,Yes,Yes,Bank Transfer
52421,F,37,S,Seldom,Yes,Yes,Yes,No,Website Account
12784,F,44,M,Regular,Yes,Yes,Yes,Yes,Website Account
15999,F,61,M,Regular,Yes,Yes,Yes,No,Monthly Billing
10246,F,19,S,Seldom,Yes,No,Yes,Yes,Website Account
55848,F,53,S,Seldom,Yes,Yes,Yes,No,Credit Card
67818,M,47,M,Regular,Yes,No,No,No,Credit Card
74055,F,49,S,Seldom,Yes,No,Yes,Yes,Monthly Billing
38140,F,50,M,Seldom,Yes,Yes,Yes,No,Bank Transfer
90036,F,52,S,Seldom,Yes,Yes,No,Yes,Bank Transfer
93955,M,42,M,Seldom,Yes,Yes,Yes,Yes,Bank Transfer
76591,M,61,S,Seldom,Yes,No,Yes,No,Bank Transfer
97981,M,42,S,Seldom,Yes,Yes,Yes,No,Bank Transfer
80485,F,67,M,Regular,Yes,No,No,No,Website Account
78255,M,62,M,Seldom,Yes,No,Yes,No,Website Account
66185,F,33,S,Seldom,Yes,Yes,Yes,No,Website Account
61803,F,49,M,Seldom,Yes,No,Yes,No,Bank Transfer
37110,F,59,S,Regular,Yes,Yes,Yes,No,Website Account
62033,M,56,M,Seldom,Yes,No,Yes,Yes,Website Account
65242,M,45,S,Seldom,Yes,No,No,Yes,Bank Transfer
28689,F,64,M,Regular,No,Yes,Yes,No,Bank Transfer
80584,M,34,S,Seldom,Yes,Yes,Yes,Yes,Bank Transfer
92866,M,30,M,Seldom,Yes,No,Yes,Yes,Website Account
90469,M,45,S,Seldom,Yes,Yes,Yes,Yes,Website Account
79042,F,52,S,Seldom,Yes,Yes,No,Yes,Bank Transfer
81919,F,38,S,Regular,Yes,Yes,Yes,No,Website Account
34616,M,23,S,Seldom,Yes,No,Yes,No,Bank Transfer
25205,M,68,M,Seldom,Yes,No,Yes,No,Credit Card
29995,M,67,S,Regular,Yes,No,No,Yes,Credit Card
44901,M,55,M,Seldom,Yes,No,Yes,Yes,Website Account
32695,F,34,S,Seldom,Yes,No,Yes,No,Bank Transfer
29389,M,61,S,Seldom,Yes,Yes,Yes,Yes,Bank Transfer
45400,F,40,M,Regular,Yes,Yes,Yes,Yes,Website Account
70962,F,35,S,Regular,Yes,Yes,No,No,Website Account
23009,M,34,S,Seldom,Yes,No,Yes,Yes,Bank Transfer
69935,M,28,M,Regular,Yes,No,Yes,No,Bank Transfer
36662,F,33,S,Seldom,Yes,No,Yes,No,Website Account
58585,F,66,M,Seldom,Yes,No,Yes,No,Website Account
62717,M,45,M,Frequent,Yes,Yes,No,Yes,Website Account
11319,M,32,S,Seldom,Yes,No,Yes,No,Website Account
89513,M,44,M,Seldom,Yes,Yes,Yes,Yes,Bank Transfer
16840,M,27,M,Regular,Yes,No,Yes,No,Bank Transfer
25593,F,68,M,Regular,Yes,No,No,No,Website Account
38013,M,54,S,Seldom,Yes,No,Yes,No,Website Account
47666,F,51,S,Seldom,Yes,No,No,No,Website Account
30377,M,43,M,Seldom,Yes,Yes,Yes,No,Website Account
29644,M,47,S,Frequent,Yes,No,No,No,Website Account
97401,F,56,M,Seldom,Yes,No,Yes,Yes,Website Account
35350,M,36,S,Regular,Yes,No,Yes,Yes,Website Account
59348,F,37,S,Regular,Yes,Yes,No,No,Website Account
84250,F,31,S,Seldom,Yes,No,Yes,No,Website Account
65693,M,46,S,Frequent,Yes,No,No,No,Website Account
12539,F,50,S,Regular,Yes,Yes,Yes,No,Bank Transfer
80502,F,37,S,Frequent,Yes,No,Yes,No,Website Account
15246,M,62,M,Seldom,Yes,Yes,Yes,No,Monthly Billing
27978,F,38,S,Regular,Yes,Yes,Yes,Yes,Bank Transfer
12369,M,45,M,Regular,Yes,Yes,Yes,Yes,Website Account
83814,F,63,M,Regular,Yes,Yes,Yes,No,Monthly Billing
33371,M,49,S,Regular,Yes,Yes,Yes,No,Website Account
47720,M,36,M,Regular,Yes,Yes,Yes,No,Bank Transfer
95027,F,36,S,Seldom,Yes,Yes,Yes,No,Website Account
62258,M,64,S,Seldom,Yes,No,Yes,Yes,Bank Transfer
92296,M,51,M,Frequent,Yes,Yes,Yes,No,Bank Transfer
22477,M,65,M,Seldom,Yes,No,Yes,No,Website Account
67467,M,47,M,Regular,Yes,No,Yes,No,Credit Card
45505,M,53,S,Regular,Yes,No,Yes,Yes,Website Account
54261,F,63,M,Frequent,Yes,No,No,No,Monthly Billing
79934,M,69,S,Regular,Yes,Yes,Yes,Yes,Credit Card
72889,M,63,M,Seldom,Yes,No,Yes,No,Website Account
66037,F,49,S,Seldom,Yes,No,Yes,Yes,Monthly Billing
50272,M,37,S,Seldom,Yes,No,Yes,No,Bank Transfer
70317,F,54,S,Regular,Yes,Yes,No,No,Bank Transfer
25680,M,56,S,Regular,Yes,Yes,Yes,No,Credit Card
77555,M,68,S,Regular,Yes,No,No,Yes,Credit Card
19429,M,64,M,Seldom,Yes,Yes,Yes,Yes,Website Account
12524,F,27,M,Regular,Yes,Yes,Yes,Yes,Monthly Billing
93580,M,45,S,Seldom,Yes,Yes,Yes,Yes,Website Account
54445,F,33,M,Regular,Yes,No,Yes,No,Website Account
20458,M,68,M,Seldom,Yes,No,No,No,Bank Transfer
53642,M,67,S,Regular,Yes,Yes,Yes,Yes,Credit Card
59160,M,58,S,Seldom,Yes,No,Yes,Yes,Bank Transfer
29387,M,26,M,Seldom,Yes,No,No,No,Monthly Billing
75473,M,47,S,Seldom,Yes,Yes,Yes,No,Website Account
93435,M,44,M,Frequent,Yes,Yes,No,Yes,Website Account
44042,M,27,M,Regular,Yes,No,Yes,No,Website Account
29936,M,39,M,Regular,Yes,Yes,Yes,No,Bank Transfer
96112,M,58,S,Seldom,Yes,No,Yes,No,Bank Transfer
24454,M,47,S,Seldom,Yes,Yes,Yes,No,Website Account
68250,M,59,S,Seldom,Yes,No,Yes,No,Bank Transfer
37033,F,35,M,Frequent,Yes,Yes,No,No,Monthly Billing
39308,M,54,M,Seldom,Yes,No,Yes,Yes,Website Account
64692,M,27,M,Regular,Yes,No,Yes,No,Website Account
20313,M,52,S,Frequent,Yes,Yes,Yes,Yes,Website Account
82405,M,30,M,Regular,Yes,Yes,Yes,No,Website Account
79836,F,31,S,Seldom,Yes,No,Yes,No,Website Account
69814,F,65,M,Seldom,Yes,Yes,Yes,No,Website Account
70355,M,45,M,Regular,Yes,Yes,Yes,Yes,Website Account
63799,M,44,S,Regular,Yes,No,Yes,No,Website Account
84850,M,45,M,Regular,Yes,Yes,Yes,Yes,Website Account
57914,F,52,S,Seldom,Yes,Yes,Yes,Yes,Bank Transfer
15083,F,51,S,Seldom,Yes,Yes,No,Yes,Credit Card
13172,M,25,M,Seldom,Yes,No,No,No,Monthly Billing
25980,M,29,M,Regular,Yes,Yes,Yes,No,Website Account
93674,F,57,S,Seldom,Yes,No,Yes,No,Website Account
61887,M,35,S,Seldom,Yes,Yes,Yes,Yes,Bank Transfer
44360,F,54,M,Regular,Yes,Yes,No,No,Bank Transfer
11925,F,35,S,Seldom,Yes,No,Yes,No,Bank Transfer
25404,F,62,M,Frequent,Yes,No,No,No,Monthly Billing
63476,M,47,S,Regular,Yes,No,No,Yes,Credit Card
49470,M,58,S,Seldom,Yes,Yes,Yes,Yes,Bank Transfer
50462,M,36,M,Regular,Yes,Yes,Yes,No,Bank Transfer
67881,M,51,S,Frequent,Yes,Yes,Yes,Yes,Website Account
62131,M,17,M,Seldom,Yes,No,Yes,No,Credit Card
34213,M,29,M,Regular,No,No,Yes,No,Monthly Billing
37652,M,69,S,Regular,Yes,No,No,Yes,Credit Card
47884,M,37,M,Seldom,Yes,No,Yes,No,Monthly Billing
37805,F,56,S,Seldom,Yes,No,Yes,No,Website Account
54220,F,53,S,Seldom,Yes,No,Yes,Yes,Credit Card
40666,M,22,M,Regular,Yes,Yes,Yes,Yes,Website Account
45265,M,25,S,Seldom,Yes,Yes,Yes,No,Bank Transfer
58527,M,70,M,Regular,Yes,Yes,Yes,No,Bank Transfer
57937,M,28,M,Seldom,Yes,No,Yes,Yes,Website Account
73642,F,50,M,Regular,Yes,Yes,No,No,Bank Transfer
36277,F,18,S,Seldom,Yes,No,Yes,Yes,Website Account
85451,M,52,M,Seldom,Yes,Yes,Yes,No,Website Account
25156,F,47,S,Seldom,Yes,Yes,No,No,Bank Transfer
57202,F,53,M,Seldom,Yes,No,Yes,No,Bank Transfer
38763,M,33,M,Seldom,Yes,No,Yes,No,Monthly Billing
92336,F,34,M,Frequent,Yes,Yes,No,No,Monthly Billing
54303,F,64,M,Seldom,Yes,No,Yes,No,Website Account
14026,F,64,M,Regular,No,Yes,Yes,No,Bank Transfer
33261,M,18,M,Seldom,Yes,Yes,Yes,Yes,Website Account
42167,F,56,M,Seldom,Yes,No,Yes,Yes,Website Account
13957,M,44,M,Seldom,Yes,Yes,Yes,Yes,Bank Transfer
77370,M,22,S,Seldom,Yes,Yes,Yes,No,Bank Transfer
89231,F,52,S,Seldom,Yes,Yes,Yes,Yes,Bank Transfer
49408,M,34,M,Seldom,Yes,Yes,Yes,Yes,Website Account
60321,F,48,S,Regular,Yes,Yes,Yes,No,Bank Transfer
17505,F,57,S,Seldom,Yes,No,Yes,Yes,Credit Card
13308,F,54,S,Seldom,Yes,No,Yes,Yes,Credit Card
80117,F,46,M,Regular,Yes,Yes,Yes,Yes,Bank Transfer
28382,F,49,S,Seldom,Yes,No,Yes,Yes,Monthly Billing
26623,F,44,M,Seldom,Yes,Yes,Yes,Yes,Website Account
14109,F,65,M,Frequent,No,Yes,No,Yes,Website Account
29168,F,53,S,Seldom,Yes,No,No,No,Website Account
89822,F,63,M,Seldom,Yes,Yes,Yes,Yes,Monthly Billing
87800,F,63,M,Regular,Yes,Yes,Yes,No,Monthly Billing
36704,F,55,S,Regular,Yes,Yes,No,No,Bank Transfer
26584,F,34,M,Regular,Yes,No,Yes,No,Website Account
21792,M,25,M,Seldom,Yes,No,No,No,Monthly Billing
86915,F,31,S,Seldom,Yes,No,Yes,No,Website Account
55886,F,54,S,Regular,Yes,Yes,No,No,Bank Transfer
35863,M,17,M,Seldom,Yes,Yes,Yes,Yes,Website Account
88479,M,34,M,Seldom,Yes,No,Yes,Yes,Website Account
70624,M,54,M,Seldom,Yes,No,No,Yes,Credit Card
82082,F,27,S,Regular,Yes,No,Yes,Yes,Bank Transfer
41234,F,56,S,Seldom,Yes,No,Yes,No,Monthly Billing
18836,F,51,M,Seldom,Yes,Yes,Yes,No,Bank Transfer
82587,M,55,M,Seldom,Yes,Yes,Yes,No,Website Account
35993,M,44,S,Seldom,Yes,Yes,Yes,Yes,Bank Transfer
52083,M,47,S,Regular,Yes,Yes,Yes,No,Website Account
26771,F,68,S,Seldom,Yes,No,Yes,Yes,Website Account
79906,M,44,M,Seldom,Yes,Yes,Yes,No,Website Account
46208,M,69,M,Regular,Yes,Yes,Yes,No,Bank Transfer
59086,M,61,M,Seldom,Yes,Yes,Yes,No,Monthly Billing
91499,M,47,M,Seldom,Yes,Yes,Yes,Yes,Monthly Billing
45785,M,49,M,Regular,Yes,No,Yes,No,Credit Card
44531,M,52,S,Regular,Yes,No,Yes,Yes,Website Account
97494,M,32,S,Seldom,Yes,Yes,Yes,Yes,Bank Transfer
30952,M,42,S,Seldom,Yes,No,No,Yes,Bank Transfer
51513,M,25,M,Regular,Yes,No,Yes,No,Bank Transfer
98275,F,49,M,Regular,No,Yes,Yes,No,Credit Card
38844,M,57,S,Seldom,Yes,No,Yes,No,Bank Transfer
44534,M,30,M,Seldom,Yes,No,Yes,Yes,Website Account
62080,F,54,M,Seldom,Yes,No,Yes,Yes,Website Account
85874,F,43,M,Seldom,Yes,No,Yes,No,Bank Transfer
19015,M,44,M,Regular,Yes,Yes,Yes,Yes,Website Account
46304,M,33,S,Seldom,Yes,No,Yes,No,Website Account
22561,F,45,M,Seldom,Yes,No,Yes,Yes,Bank Transfer
32227,F,63,M,Regular,No,Yes,Yes,No,Bank Transfer
77172,M,51,S,Frequent,Yes,Yes,Yes,Yes,Website Account
99190,M,25,S,Seldom,Yes,No,Yes,No,Bank Transfer
48018,F,62,M,Seldom,Yes,Yes,Yes,No,Website Account
92784,M,68,S,Seldom,Yes,No,Yes,Yes,Bank Transfer
47073,F,28,M,Seldom,Yes,Yes,Yes,No,Bank Transfer
62523,F,53,S,Seldom,Yes,Yes,Yes,No,Credit Card
