Elapsed_Time,Time_in_Community,Gender,Working,Age,Family,Hobbies,Social_Club,Political,Professional,Religious,Support_Group
9.76,Long,M,Yes,31,0,0,0,0,0,1,0
3.17,Long,F,Yes,31,1,1,1,0,0,1,0
5.31,Short,M,Yes,28,0,0,0,0,0,0,0
9.26,Long,F,Yes,29,1,1,1,0,0,1,0
5.07,Long,F,No,53,0,1,0,0,0,1,0
5.28,Long,F,No,33,0,0,0,0,0,0,0
7.16,Medium,M,Yes,46,0,0,0,0,0,0,0
6.23,Long,M,No,20,1,1,0,0,0,0,0
8.63,Medium,F,No,44,0,0,0,0,0,0,0
5.89,Medium,M,No,41,0,0,0,0,0,1,0
6.26,Medium,M,No,52,1,1,1,0,1,1,1
9.3,Long,M,Yes,40,0,0,0,0,0,0,0
3.67,Short,M,Yes,53,0,0,0,0,0,0,0
7.49,Medium,F,Yes,22,0,0,0,0,1,0,0
4.58,Long,F,Yes,34,0,0,0,0,1,0,0
7.25,Medium,F,Yes,47,0,1,1,0,0,1,0
4.88,Medium,M,No,42,1,1,0,0,0,0,0
9.12,Long,M,Yes,51,0,0,0,0,0,0,0
7.7,Long,F,No,49,0,0,0,0,1,0,0
3.99,Long,M,Yes,39,1,1,0,0,1,1,0
7.76,Medium,F,No,42,0,1,0,0,0,1,0
9.72,Short,M,No,31,1,0,0,0,1,0,0
5.9,Short,M,No,21,0,0,0,0,0,0,0
5.08,Medium,F,No,34,0,0,0,0,1,0,0
5.65,Short,M,Yes,48,0,1,1,0,1,0,0
9.75,Short,F,No,57,0,0,0,0,1,0,1
9.66,Short,M,Yes,46,0,1,0,0,0,1,0
3.49,Medium,F,No,37,0,0,0,0,1,1,1
5.28,Short,F,No,29,0,0,0,0,0,0,0
5.85,Long,F,No,27,1,1,0,0,1,1,0
3.18,Short,M,No,35,0,0,0,0,0,0,0
6.88,Short,F,Yes,50,1,0,0,0,1,0,1
2.88,Short,F,Yes,55,1,1,0,0,0,1,0
3.39,Long,F,Yes,35,1,0,0,0,0,0,0
7.32,Long,F,Yes,48,1,0,0,0,0,0,0
7.22,Short,M,No,51,0,0,0,1,1,0,1
5.07,Medium,F,Yes,30,1,0,0,0,0,0,0
7.91,Medium,F,No,31,1,0,0,0,0,0,0
3.8,Long,F,Yes,43,1,1,1,0,0,1,0
6.53,Long,F,Yes,23,0,0,0,0,0,0,0
7.24,Medium,M,Yes,19,0,0,0,0,0,0,0
3.4,Medium,F,Yes,26,1,0,1,0,0,1,0
2.08,Short,M,Yes,27,0,0,0,0,1,0,0
8.71,Medium,M,No,42,0,0,0,0,0,0,0
2.66,Short,F,No,47,0,0,0,0,1,1,0
5.97,Medium,F,Yes,49,1,0,1,0,1,0,0
4.06,Medium,M,No,21,0,0,0,0,0,0,0
4.71,Short,M,No,47,0,0,0,0,0,0,0
6.6,Long,M,Yes,37,0,0,0,0,0,0,1
4.65,Short,F,Yes,24,1,0,0,0,1,1,0
5.13,Short,M,Yes,25,1,0,0,0,0,0,0
4.76,Long,F,Yes,23,0,1,1,0,0,1,0
7.71,Medium,M,No,22,0,0,0,0,0,1,0
4.82,Short,M,No,47,1,1,0,0,0,1,0
5.63,Long,F,No,28,1,1,0,0,0,1,0
5.21,Short,F,Yes,31,0,0,0,0,1,0,0
3.96,Medium,M,Yes,54,0,0,0,0,0,0,0
7.46,Medium,M,No,24,0,0,0,0,0,0,1
2.24,Long,M,No,24,0,0,0,1,1,0,1
2.18,Long,F,Yes,25,1,0,1,0,0,1,0
4.16,Medium,M,Yes,23,1,1,1,0,0,1,0
8.66,Long,F,Yes,29,0,1,0,0,0,1,0
2.91,Long,F,Yes,31,0,0,0,0,0,1,0
3.69,Medium,M,Yes,52,0,0,0,0,0,0,0
5.03,Long,M,Yes,38,1,0,0,0,1,0,0
7.95,Short,M,No,29,0,0,0,0,0,0,1
3.37,Long,F,No,29,0,0,0,0,1,0,0
8.58,Medium,F,No,47,0,0,0,0,0,0,0
2.85,Long,F,Yes,26,0,0,0,0,0,0,0
3.82,Long,M,Yes,45,0,0,0,0,0,0,0
3.84,Medium,M,Yes,51,1,0,0,0,0,0,0
3.1,Long,F,No,28,0,1,0,0,1,1,0
2.16,Long,F,No,43,0,0,0,0,1,0,0
7.97,Medium,M,No,24,1,0,0,1,0,0,0
9.04,Short,F,No,52,0,0,0,0,0,0,0
2.85,Medium,F,No,24,0,0,0,0,0,0,1
2.46,Long,F,No,55,1,1,1,0,0,1,0
6.11,Long,F,No,40,0,0,0,0,1,0,0
9.75,Long,F,No,37,1,1,1,0,0,1,1
7.84,Medium,M,Yes,34,1,1,1,1,1,1,0
2.83,Short,F,No,31,1,0,0,0,1,0,0
6.37,Short,M,Yes,34,0,0,0,0,0,0,0
8.67,Medium,M,No,21,0,0,0,0,1,0,0
3.01,Long,M,No,48,1,1,1,0,0,1,0
5.42,Long,F,Yes,51,0,0,0,1,0,1,1
7.92,Long,F,Yes,37,1,1,1,1,0,1,1
3.65,Short,F,Yes,22,1,1,1,0,0,1,0
9.84,Medium,M,Yes,39,0,1,1,0,0,1,0
4.22,Long,F,Yes,24,0,1,0,0,0,1,0
6.53,Medium,M,No,47,0,0,0,0,1,0,1
6.79,Long,M,No,56,0,0,0,0,0,0,0
6.21,Medium,M,Yes,35,0,0,0,1,1,1,0
5.51,Medium,F,Yes,32,0,0,0,0,0,1,0
6.38,Medium,M,No,48,0,0,0,0,0,0,0
5.51,Short,M,No,21,1,1,0,0,1,1,0
5.43,Medium,M,No,44,0,0,0,0,0,0,0
3.74,Long,F,Yes,39,1,0,0,0,0,0,0
6.45,Long,M,Yes,28,1,0,0,0,1,0,0
4.3,Long,M,Yes,20,0,0,0,0,0,0,0
8.8,Long,F,No,53,1,1,0,0,0,1,0
5.47,Long,F,Yes,42,1,0,0,1,1,0,0
2.27,Medium,F,Yes,40,0,0,0,0,0,1,0
3.6,Medium,M,No,52,1,0,1,0,1,1,0
4.76,Short,M,Yes,49,0,1,0,0,0,0,1
2.31,Long,F,Yes,25,0,0,0,0,0,0,0
8.44,Medium,M,No,18,1,1,1,0,0,1,1
5.62,Medium,F,Yes,45,1,0,0,0,0,0,0
3,Long,M,Yes,43,0,0,0,0,0,0,0
2.81,Medium,F,Yes,47,0,1,1,0,0,1,0
6.43,Medium,M,No,26,0,1,0,0,0,1,1
9.24,Long,F,Yes,44,0,0,0,0,0,0,0
5.63,Long,M,Yes,26,0,0,0,0,1,0,0
8.31,Long,F,Yes,27,1,1,0,1,1,1,1
4.45,Medium,M,Yes,19,1,1,0,0,0,1,0
8.47,Long,M,No,26,1,0,0,0,0,0,0
5.99,Medium,F,No,29,0,0,0,0,0,0,0
4.49,Medium,F,No,28,1,0,1,0,0,0,0
10.04,Medium,M,Yes,28,0,0,0,0,0,1,0
4.13,Short,F,Yes,40,1,1,0,0,0,1,1
6.41,Medium,F,No,25,0,0,0,0,0,0,1
8.65,Medium,M,No,33,1,0,0,0,0,0,0
6.95,Long,F,Yes,36,0,0,0,0,0,0,0
7.9,Medium,F,Yes,54,0,0,0,0,0,0,0
8.19,Long,F,No,38,0,1,0,0,0,1,0
7.53,Medium,F,No,41,0,0,0,0,0,1,0
9.06,Medium,M,Yes,29,1,0,0,0,0,0,0
6.3,Short,F,No,37,0,0,0,0,0,0,0
6.42,Short,F,Yes,51,0,0,0,0,0,1,0
7.29,Long,M,No,24,1,0,1,0,0,0,0
9.34,Short,M,No,34,0,0,0,0,1,0,1
4.34,Medium,M,Yes,26,0,0,0,0,0,1,0
7.05,Medium,F,No,37,1,1,1,0,0,1,0
7.44,Long,F,No,54,0,0,0,0,0,0,0
6.16,Medium,M,No,52,1,0,0,0,0,0,0
6.19,Medium,F,Yes,42,0,0,0,0,1,0,0
4.64,Medium,F,Yes,22,1,1,0,0,1,1,0
2.41,Medium,F,No,49,1,1,1,0,0,1,0
8.15,Short,F,Yes,38,1,1,0,0,1,1,1
7.82,Long,M,No,41,0,0,0,0,0,0,0
2.62,Medium,F,No,40,1,0,0,0,0,0,0
7.06,Long,F,No,50,0,0,0,0,0,1,0
5.8,Long,F,Yes,52,1,0,1,0,0,1,0
8.57,Medium,F,No,20,0,0,0,0,1,0,1
6.28,Long,M,No,35,0,0,0,0,0,0,0
4.14,Short,M,No,39,0,0,0,0,1,0,0
8.62,Long,M,No,37,0,1,1,1,1,1,1
3.67,Long,M,Yes,47,1,1,1,0,0,1,0
8.08,Medium,M,No,20,0,0,0,0,0,0,0
3.49,Medium,M,No,45,0,0,0,1,0,0,0
9.06,Medium,M,No,35,1,1,1,0,0,1,1
6.86,Medium,M,No,38,0,0,0,0,0,0,1
4.34,Medium,F,Yes,36,1,0,0,0,0,0,0
3.16,Long,M,No,30,0,1,0,0,0,1,0
7.3,Short,F,Yes,26,0,0,0,0,0,1,0
5.83,Medium,F,No,27,0,0,0,0,0,0,0
7.48,Long,F,No,39,0,1,0,0,0,1,0
7.34,Long,M,No,39,0,0,0,0,0,1,0
8.13,Short,F,Yes,29,1,1,1,0,0,1,0
8.07,Medium,F,No,23,0,0,0,0,0,1,0
2.29,Medium,F,No,51,0,0,0,1,0,0,1
2.34,Long,F,Yes,23,0,0,0,0,0,0,0
7.35,Long,F,Yes,31,0,0,0,0,0,0,0
7.07,Short,F,No,55,1,0,1,0,0,0,1
5.7,Long,M,Yes,25,0,0,0,0,0,1,0
4.73,Short,F,No,44,0,0,0,0,0,0,0
2.25,Medium,F,No,23,0,0,0,0,0,0,0
9.98,Long,M,Yes,22,0,1,0,0,0,0,0
7.66,Medium,F,No,54,0,0,0,0,1,1,0
2.35,Short,F,No,20,1,1,0,0,0,1,0
6.99,Medium,F,No,49,1,0,1,0,1,1,0
7.6,Short,F,Yes,44,0,1,1,1,1,1,0
3.73,Medium,M,No,33,0,0,0,0,0,1,0
7.28,Medium,F,Yes,28,0,0,0,1,1,0,1
7.72,Long,F,Yes,20,0,0,0,0,0,0,0
8.79,Long,F,No,30,0,0,0,0,0,0,0
7.13,Short,M,No,37,0,1,0,1,0,0,0
7.26,Short,F,No,22,0,0,0,0,0,0,0
6.45,Short,M,No,32,1,0,0,0,0,0,1
7.27,Long,M,Yes,54,1,0,0,0,0,1,0
2.59,Long,M,No,46,0,0,0,0,1,0,0
6.9,Long,F,Yes,41,0,0,1,0,0,0,0
9.14,Long,F,Yes,47,1,0,0,0,0,1,0
2.87,Medium,M,No,55,1,1,1,0,0,1,0
3.19,Long,M,No,40,0,1,1,0,0,1,0
2.75,Medium,F,Yes,53,1,0,0,0,0,0,0
9.35,Long,F,Yes,46,0,0,0,0,0,0,0
9.54,Short,M,No,38,0,1,0,1,0,1,0
6.26,Long,M,No,32,0,0,0,0,0,1,0
7.7,Medium,F,Yes,36,1,0,0,0,0,0,0
3.15,Short,F,No,36,1,0,0,0,0,0,0
4.94,Medium,M,No,27,0,0,0,0,1,1,0
6.6,Medium,M,No,50,0,1,0,0,0,1,0
9.19,Long,F,No,30,0,0,0,0,0,0,0
4.62,Short,M,Yes,50,1,1,0,0,0,0,0
3.21,Medium,M,No,30,0,0,0,0,0,1,0
4.31,Medium,M,Yes,36,0,0,0,0,0,1,1
8.72,Medium,F,Yes,47,1,1,0,0,0,1,0
7.08,Medium,F,Yes,31,0,0,0,0,1,0,0
3.48,Short,F,No,50,1,1,0,0,0,1,0
5.47,Medium,M,Yes,32,0,0,0,0,0,0,0
3.99,Long,F,Yes,43,0,0,0,0,0,0,0
2.2,Short,F,Yes,29,0,0,0,0,1,1,0
7.01,Medium,F,No,45,0,1,0,0,1,1,0
6.6,Short,M,No,19,0,0,0,0,0,1,0
3.14,Long,F,Yes,24,1,1,0,0,0,1,0
9.5,Long,F,Yes,32,0,0,0,0,0,0,0
5.96,Long,F,No,48,0,0,0,0,1,0,0
2.99,Medium,M,Yes,24,0,0,0,0,0,0,0
8.74,Medium,M,No,38,1,1,0,0,1,1,0
6.64,Medium,M,No,21,0,0,0,0,0,0,0
7.55,Long,M,Yes,51,0,1,1,0,0,0,0
9.91,Long,M,Yes,23,0,0,0,0,0,0,0
7.69,Short,M,Yes,38,1,1,0,0,0,0,0
4.12,Long,M,Yes,41,0,0,0,0,1,1,0
9.86,Long,M,Yes,22,1,1,1,0,1,1,0
7.04,Medium,M,Yes,29,0,1,0,0,0,1,0
6.31,Long,F,Yes,27,1,0,0,0,0,0,0
5.61,Short,F,No,39,1,0,0,0,0,0,0
4.31,Medium,M,Yes,47,1,0,0,0,0,0,0
8.87,Long,M,Yes,34,0,0,0,0,0,0,1
6.97,Long,F,No,50,0,0,0,0,1,0,0
6.57,Long,F,Yes,49,1,0,0,0,0,1,0
5.51,Medium,M,Yes,21,1,1,1,0,1,1,1
9.02,Long,F,Yes,39,0,0,0,0,0,0,1
4.55,Medium,M,Yes,50,1,0,0,0,0,0,0
5.8,Medium,F,No,29,0,0,0,1,0,1,0
3.05,Medium,F,Yes,23,0,0,0,0,0,0,0
2.35,Medium,M,No,32,0,1,1,0,0,1,0
6.56,Long,M,No,47,0,0,0,0,0,0,0
2.09,Long,F,No,27,0,1,1,0,0,1,1
7.23,Short,F,Yes,29,1,1,0,0,1,1,0
6.6,Long,F,No,20,1,0,0,0,0,0,0
6.97,Long,F,Yes,47,0,0,1,0,0,0,1
4.22,Medium,F,No,46,1,1,1,0,0,0,1
3.24,Long,M,Yes,26,0,1,1,0,1,1,0
8.25,Long,F,Yes,45,1,0,0,0,0,1,0
2.61,Long,F,No,24,1,0,0,0,1,0,0
6.52,Medium,F,No,34,1,1,1,0,0,1,0
3.07,Medium,F,Yes,25,0,0,0,0,0,0,0
2.48,Long,F,No,31,0,0,0,0,0,0,0
7.66,Long,F,No,17,0,0,0,0,0,1,0
3.31,Short,M,No,17,0,0,0,0,0,0,1
2.8,Medium,M,Yes,42,1,0,1,0,1,0,0
4.95,Medium,F,Yes,31,0,0,0,0,1,0,0
2.88,Short,F,No,45,0,0,0,0,0,0,0
3.5,Long,F,No,46,0,1,1,1,1,1,1
9.24,Medium,M,No,51,0,1,0,0,0,0,1
6.05,Medium,F,Yes,56,1,0,0,0,1,0,0
8.02,Short,M,Yes,33,1,0,1,0,1,0,0
3.31,Long,M,No,44,0,0,0,0,0,0,0
4.33,Short,M,Yes,32,0,0,0,0,0,0,0
8.86,Medium,F,No,30,0,0,1,0,1,1,0
3.13,Long,M,Yes,55,0,1,0,0,1,0,0
3.17,Long,F,Yes,44,0,1,1,0,0,1,0
4.53,Long,M,Yes,47,0,0,0,0,0,0,1
6.83,Medium,F,Yes,25,0,0,0,0,0,0,0
3.73,Medium,F,No,29,0,0,0,0,0,0,0
9.17,Medium,M,No,42,1,1,1,0,0,1,0
6.15,Medium,F,Yes,25,0,0,0,0,0,0,0
4.7,Medium,F,Yes,49,0,0,1,0,1,1,0
3.06,Short,F,No,54,1,0,0,0,0,0,0
3.24,Medium,F,No,27,0,0,0,0,1,0,0
5.63,Long,F,No,28,0,0,0,0,0,0,0
9.44,Short,M,Yes,27,1,1,1,0,0,1,0
5.57,Long,F,Yes,25,0,0,0,0,1,0,0
6.22,Short,F,Yes,18,0,0,0,0,1,0,0
8.3,Medium,F,No,55,1,0,0,1,1,1,1
2.73,Medium,M,Yes,52,1,1,1,0,0,1,0
4.47,Long,F,No,53,0,1,1,0,0,1,0
8.33,Long,M,Yes,47,0,1,1,1,1,1,1
9.34,Long,M,No,37,1,0,0,0,1,0,0
2.82,Medium,F,Yes,50,0,0,0,0,1,0,0
6.53,Long,M,No,21,1,1,0,0,0,1,0
3.58,Long,F,No,21,0,0,0,0,0,1,0
4.52,Medium,F,No,50,1,1,0,0,0,0,0
2.71,Short,M,Yes,26,0,0,0,0,0,0,0
2.42,Medium,F,No,18,0,1,0,0,0,0,0
7.65,Medium,F,Yes,40,0,0,0,0,1,0,0
8.01,Long,M,No,52,0,1,0,0,1,1,0
6.67,Medium,F,Yes,43,0,0,0,0,1,0,0
5.62,Long,F,No,21,0,0,0,0,0,0,0
3.78,Medium,M,No,34,0,0,0,0,1,0,0
4.75,Medium,F,Yes,38,1,1,1,0,0,1,0
2.24,Long,M,Yes,37,1,0,0,0,0,1,0
6.01,Medium,M,Yes,36,0,1,0,0,1,1,0
4.55,Short,M,Yes,24,0,0,0,0,0,0,0
7.28,Long,M,Yes,22,1,0,0,0,0,1,0
9.89,Medium,M,No,31,0,0,0,0,1,0,0
6,Short,F,No,37,0,0,0,0,0,0,0
7.47,Long,M,Yes,27,1,0,0,0,1,0,1
6.11,Long,F,No,48,0,0,0,0,0,0,0
2.13,Short,M,Yes,50,1,0,0,1,0,1,0
9.96,Long,F,No,25,0,0,0,0,0,0,0
8.92,Long,F,No,49,0,0,0,0,0,0,0
2.69,Long,F,No,36,0,0,0,0,0,0,0
8.93,Short,F,No,33,1,0,1,0,0,1,0
2.24,Medium,M,Yes,50,1,0,0,0,0,0,0
2.29,Long,F,Yes,40,1,1,1,0,0,1,0
3.51,Medium,M,Yes,44,0,0,0,0,1,0,0
4.49,Medium,M,No,48,0,0,0,0,0,0,0
4.54,Long,M,Yes,21,0,0,0,0,1,0,1
6.06,Medium,M,Yes,50,0,0,0,0,1,0,0
2.67,Medium,M,Yes,47,0,0,0,0,0,0,0
6.98,Long,M,Yes,36,1,0,0,0,0,1,0
3.4,Long,F,No,44,1,1,0,0,0,1,0
3.82,Long,M,Yes,27,1,1,0,0,1,1,0
8.21,Long,F,No,17,1,1,0,0,0,1,0
6.28,Long,M,No,38,1,0,0,0,0,0,0
8.81,Medium,F,Yes,28,0,1,0,0,1,0,0
7.01,Long,F,No,23,0,0,1,1,1,0,1
4.63,Short,M,No,30,0,1,0,0,0,1,0
7.63,Short,F,No,46,0,0,0,0,0,1,0
6.15,Short,M,Yes,42,0,0,1,0,0,1,0
4.32,Medium,M,No,48,0,0,0,0,1,0,0
9.88,Short,F,No,29,1,1,0,0,0,1,0
7.92,Long,M,Yes,25,0,0,0,0,0,0,0
9.46,Long,M,No,52,0,0,0,0,0,0,1
8.44,Long,M,Yes,55,0,1,0,0,1,1,0
3.94,Long,F,No,30,0,0,0,0,0,0,0
5.52,Short,F,No,30,1,1,0,0,0,1,0
7.34,Medium,F,No,20,0,0,0,0,1,0,0
9.31,Medium,M,No,48,1,1,1,0,1,1,1
4.11,Long,F,Yes,45,0,0,0,0,1,0,0
3.41,Medium,M,No,47,1,0,0,0,0,1,1
2.26,Long,M,No,20,0,0,0,0,0,0,0
2.05,Short,F,No,43,0,0,0,0,1,0,1
3.37,Long,F,Yes,40,0,0,0,0,0,0,1
4.37,Long,F,No,52,1,0,0,0,0,1,0
6.77,Short,M,No,53,1,0,0,1,1,0,1
2.87,Medium,F,Yes,34,0,0,0,0,0,0,0
8.09,Long,F,Yes,44,0,0,0,0,0,1,0
4.1,Long,M,No,20,0,0,0,0,0,1,0
10.11,Medium,F,No,29,0,0,0,1,1,0,0
2.55,Long,F,Yes,49,0,0,0,0,0,0,0
7.12,Long,M,No,42,1,0,0,1,1,0,0
6.27,Long,M,Yes,55,1,0,0,0,1,0,0
3.59,Short,F,Yes,49,1,0,0,0,0,0,0
5.83,Short,M,Yes,23,1,0,1,1,0,1,0
2.41,Long,M,No,19,1,1,1,0,1,1,0
2.54,Short,M,No,35,0,0,0,0,0,1,0
3.16,Medium,F,No,52,0,0,0,0,0,0,0
7.31,Medium,F,Yes,29,1,1,1,0,1,1,0
5.98,Long,M,Yes,34,0,0,0,0,1,0,0
8.89,Short,F,Yes,31,0,0,0,0,0,0,0
2.81,Short,M,No,47,1,0,0,0,0,0,0
3.95,Long,M,Yes,46,1,0,0,0,1,0,0
4.96,Long,F,Yes,24,0,1,0,0,1,1,1
7.61,Short,F,No,27,1,1,0,0,0,1,0
9.26,Medium,M,No,36,0,1,1,1,0,1,1
2.85,Medium,M,No,50,1,0,0,0,0,0,0
2.5,Medium,M,No,26,1,0,0,0,1,0,0
6.98,Long,F,No,44,0,0,0,0,0,0,0
3.85,Medium,F,Yes,24,1,1,0,0,0,0,0
3.3,Medium,F,No,52,0,0,0,0,1,0,1
9.13,Long,F,Yes,31,0,1,0,0,1,1,0
3.27,Medium,F,No,29,1,1,0,0,0,1,1
5.07,Long,M,No,54,0,0,0,0,0,0,0
3.76,Short,M,Yes,20,0,0,0,0,1,0,0
8.14,Long,F,Yes,51,0,1,0,0,0,1,0
9.6,Medium,F,No,43,0,0,0,0,1,0,1
4.19,Long,F,Yes,20,1,0,0,0,0,0,0
4.29,Long,M,Yes,50,1,0,1,0,0,1,0
2.27,Medium,M,Yes,31,0,0,0,0,0,1,0
2.55,Long,M,No,49,1,1,0,0,0,1,0
2.34,Short,M,No,44,0,1,0,0,0,1,0
2.32,Long,M,Yes,26,0,1,1,0,1,1,0
8.81,Long,M,No,50,0,0,0,0,0,0,0
3.47,Medium,F,Yes,42,0,0,0,0,1,1,0
8.61,Long,M,Yes,25,0,0,0,0,1,0,0
8.73,Medium,F,Yes,39,0,0,0,1,1,0,0
6.05,Medium,F,Yes,22,0,0,0,0,0,0,1
5.16,Long,M,Yes,29,1,1,0,0,0,1,0
3.75,Short,F,No,36,0,1,0,0,0,1,0
6.84,Long,F,Yes,45,0,0,0,0,0,1,0
9.46,Long,M,No,34,0,0,0,0,0,0,0
3.3,Long,M,Yes,49,0,1,1,0,1,1,0
3.37,Medium,F,Yes,28,1,1,1,1,1,1,1
7.37,Long,M,No,25,1,1,1,1,0,1,1
2.45,Long,F,No,28,1,1,1,0,0,1,0
4.65,Medium,F,No,43,1,1,1,0,1,1,1
3.86,Short,F,No,48,1,0,0,0,0,1,0
8.61,Medium,M,Yes,33,0,0,0,0,1,0,0
7.75,Short,M,No,24,0,0,0,1,1,0,0
5.89,Medium,M,No,47,0,0,0,1,0,0,0
5.02,Medium,F,No,30,1,0,1,0,0,0,0
4.55,Long,M,No,29,0,1,0,0,0,1,0
8.04,Long,M,No,18,0,0,0,0,1,0,0
6.27,Long,F,Yes,54,0,0,0,0,0,0,1
5.39,Long,M,No,50,1,1,0,0,0,1,0
5.28,Long,F,No,23,1,0,0,0,1,1,0
8.47,Long,M,No,49,0,0,0,0,1,0,0
2.45,Long,M,Yes,22,1,1,0,0,0,1,0
5.18,Medium,M,Yes,44,0,0,0,0,1,0,0
4.87,Long,F,No,23,0,0,0,0,0,0,0
8.73,Short,F,Yes,30,1,1,0,0,0,1,0
9.67,Long,M,No,52,1,1,1,0,0,1,0
4.46,Medium,F,No,29,1,0,0,0,1,0,0
4.28,Short,M,No,50,0,1,0,0,0,1,0
2.66,Long,F,Yes,31,0,0,0,0,0,0,0
4.83,Short,F,No,40,1,0,0,0,0,0,0
3.96,Medium,M,No,27,0,1,0,0,1,1,0
9.57,Long,M,No,29,1,0,0,0,0,1,0
6.16,Medium,M,No,28,1,0,0,0,0,1,0
3.72,Medium,M,Yes,34,0,0,0,0,0,1,0
4.56,Short,M,Yes,48,1,1,0,0,0,1,0
4.33,Long,F,No,24,0,0,0,0,0,0,0
9.57,Long,M,No,26,1,1,0,0,0,1,0
5.13,Long,M,Yes,44,0,0,0,0,0,1,0
6.85,Short,F,No,44,0,0,0,0,0,1,0
6.74,Medium,M,Yes,32,1,0,1,1,0,1,0
5.92,Medium,M,No,42,0,0,0,0,0,1,0
2.49,Medium,M,No,19,0,1,0,0,0,0,0
5.96,Long,M,Yes,32,0,1,0,1,1,1,0
7.42,Long,F,No,42,1,0,0,0,1,0,0
9.69,Long,M,Yes,26,0,1,0,0,0,0,0
4.18,Short,M,No,28,0,0,0,0,0,1,0
9.59,Long,F,Yes,25,0,0,0,0,0,0,0
10.03,Short,F,No,24,0,1,0,0,0,1,0
9.86,Long,M,Yes,25,1,1,0,0,0,1,1
6.97,Long,M,No,45,0,1,0,0,0,1,0
3.33,Medium,F,No,27,0,0,0,0,1,0,0
8.85,Long,M,Yes,27,0,0,1,0,0,0,1
3.87,Short,M,Yes,42,1,1,0,0,0,0,0
2.73,Short,F,No,47,1,0,0,1,1,0,1
4.65,Long,F,No,51,0,0,0,0,1,1,0
3.46,Short,M,No,23,1,0,0,0,0,0,1
5.85,Long,F,No,42,0,1,1,0,0,1,1
5.15,Long,M,Yes,26,1,0,1,0,0,1,1
2.27,Medium,F,No,24,1,1,0,0,1,1,0
8.21,Medium,M,Yes,26,0,0,0,0,1,1,0
3.82,Medium,M,Yes,33,1,0,0,0,1,1,0
3.21,Short,F,Yes,27,0,0,0,0,1,0,0
8.3,Long,F,Yes,25,0,0,0,0,0,1,0
5.78,Medium,F,No,41,0,1,0,0,0,1,0
